song,  singer, time,    class, rating
"
            未完成
                ",孙燕姿 , 2003-01-10 , 流行,8.6
"
            OK Computer
       ",Radiohead ,1997, 摇滚,9.2
"
            Born to Die
                ",Lana Del Rey , 2012-01-31 , 流行,8.5
"
            The Wall
                ",Pink Floyd ,1979, 摇滚,9.1
"
            不要停止我的音乐
       ",痛仰 , 2008-10 , CD,8.6
"
            Hybrid Theory
                ",Linkin Park ,2000, 摇滚,8.9
"
            MTV Unplugged in New York
       ",Nirvana , 1994-11-01 , 摇滚,9.5
"
            After 17
       ",陈绮贞 ,2004年12月, 流行,9.2
"
            In Between Dreams
       ",Jack Johnson , 2005-03-22 , 民谣,9
"
            神的孩子都在跳舞
                ",五月天 , 2004-11-05 , 摇滚,8.9
"
            离开地球表面Jump!
       ",五月天 , 2007-07-20 , 流行,8.7
"
            不想放手
                ",陈奕迅 , 2008-06-30 , CD,8.3
"
            我的歌声里
       ",曲婉婷 , 2010-02-24 , 流行,9.2
"
            The Legend of 1900
                ",Ennio Morricone , 1999-10-12 , Audio CD,9.4
"
            孤独的人是可耻的
       ",张楚 ,1994, 摇滚,9.1
"
            徐佳瑩La La首张创作专辑
                ",徐佳莹 , 2009-05-29 , 流行,8.2
"
            The Best Damn Thing
       ",Avril Lavigne , 2007-04-17 , 流行,7.7
"
            知足 just my pride 最真杰作选
       ",五月天 , 2005-11-18 , 摇滚,9.1
"
            1
                ",The Beatles ,2000, 摇滚,9.4
"
            魔杰座
       ",周杰伦 , 2008-10-09 , 流行,6.9
"
            X&Y
       ",Coldplay , 2005-06-07 , 摇滚,8.4
"
            19
       ",Adele , 2008-01-28 ,R&B,8.3
"
            我们在炎热与抑郁的夏天，无法停止抽烟
                ",My Little Airport , 2007-10-10 , 流行,8.1
"
            时光机
                ",五月天 , 2003-11-11 , 摇滚,9
"
            Yan Zi
                ",孙燕姿 , 2000-06-08 , CD,9
"
            Time Flies
                ",陈奕迅 , 2010-03-12 , 流行,8.7
"
            失败者的飞翔
       ",陈绮贞 , 2008-07-13 , 流行,8.6
"
            My Love
       ",田馥甄 , 2011-09-02 , 流行,8
"
            亲亲
                ",梁静茹 , 2006-10-06 , 流行,8.1
"
            你王菲所以我王菲
       ",王菲 ,2002, 流行,9.4
"
            Stranger Under My Skin
       ",陈奕迅 , 2011-02-22 , 流行,8.6
"
            Come Away with Me
                ",Norah Jones ,2002, 爵士,8.8
"
            平凡之路
                ",朴树 , 2014-07-16 , 数字(Digital),8.9
"
            认了吧
                ",陈奕迅 , 2007-04-24 , 流行,8.7
"
            21st Century Breakdown
       ",Green Day , 2009-05-15 , 摇滚,8.5
"
            神的游戏
                ",張懸 , 2012-08-10 , 流行,8.7
"
            唱游
       ",王菲 ,1998, 流行,9.2
"
            花的姿态：演唱会经典实录
                ",陈绮贞 , 2007-05-18 , CD DVD,9.2
"
            我去2000年
       ",朴树 , 1999-1 , 流行,9.1
"
            Young For You
       ",GALA ,2004, 摇滚,8.7
"
            自选集
                ",孙燕姿 ,2002年1月, 流行,8.9
"
            理性与感性作品音乐会
                ",李宗盛 , 2007-09-28 , 流行,9.5
"
            比天空还远
       ",曹方 , 2007-11-20 , 流行,8.5
"
            黑梦
       ",窦唯 , 1994-10 , 摇滚,9.2
"
            介乎法國與旺角的詩意
                ",My Little Airport , 2009-11-20 , 流行,8.1
"
            不能说的秘密
                ","周杰倫,Terdsak Janpan,詹宇豪,陳承麒,黃婉琦,姚蘇蓉,黃俊郎,江語晨,長榮交響樂團 ", 2007-08-13 , CD,8.7
"
            丝路
                ",梁静茹 ,2005, 流行,8.2
"
            All The Lost Souls
                ",James Blunt , 2007-09-18 , 流行,8.5
"
            F.I.R.
       ","F.I.R.,飞儿乐团 ", 2004-04-29 , 流行,8.6
"
            上五楼的快活
                ",陈奕迅 , 2009-09-23 , CD,7.7
"
            Minutes to Midnight
       ",Linkin Park , 2007-05-15 , 摇滚,8.2
"
            GOODBYE & HELLO
       ","蔡健雅,Tanya ", 2007-10-19 , 流行,8.6
"
            Someone Like You
                ",Adele , 2011-01-24 , 数字(Digital),9.5
"
            迟到千年
       ",苏打绿 , 2006-09-18 , 流行,8.8
"
            The Dark Side of the Moon
       ",Pink Floyd ,1973, 摇滚,9.1
"
            王菲 2001
                ",王菲 ,2001, 流行,9.1
"
            夜空中最亮的星
       ",逃跑计划 , 2011-04-12 , 流行,9.5
"
            追梦痴子心
       ",GALA , 2011-03-24 , 流行,8.8
"
            宝贝
       ",莫文蔚 , 2010-07-26 , 流行,7.9
"
            黑白灰
                ",陈奕迅 ,2003, 流行,9.1
"
            安和桥北
                ",宋冬野 , 2013-08-26 , 民谣,8.7
"
            Prisoner of Love
                ",宇多田ヒカル , 2008-05-21 , 流行,9.2
"
            Groupies 吉他手
                ",陈绮贞 , 2002-08-02 , 流行,9.1
"
            Now The Day Is Over
                ",The Innocence Mission ,2004, 民谣,8.4
"
            Apologize
       ","Timbaland,OneRepublic ", 2007-11-06 , Audio CD,9.2
"
            阿菲正传
                ",王菲 , 2009-06-25 , 流行,9.4
"
            跨时代
       ",周杰伦 , 2010-05-14 , 雷鬼,7
"
            Leave
                ",孙燕姿 , 2002-5-21 , 流行,8.7
"
            被禁忌的游戏
       ",李志 , 2005-12-01 , 民谣,8.8
"
            What's Going On....?
       ",陈奕迅 ,2006, 流行,9.1
"
            第二人生 末日版
                ",五月天 , 2011-12-20 , 流行,8.9
"
            樂之路
                ",陶喆 , 2003-08-08 , 流行,9
"
            It Won't Be Soon Before Long
                ",Maroon 5 , 2007-05-22 , 流行,8.2
"
            如果你冷
                ",张悬 , 2008-10-20 , 民谣,8.3
"
            陌生人
       ",蔡健雅 Tanya Chua , 2003-06-00 , 流行,8.7
"
            浮躁
       ",王菲 ,1996, 摇滚,9.2
"
            C'est La Vie
                ",自然卷 ,2004, 民谣,8.2
"
            在一起
                ",刘若英 , 2010-04-16 , 流行,7.8
"
            These Friends Of Mine
       ",Rosie Thomas , 2007-03-13 , 民谣,8.7
"
            陪我歌唱
                ",苏打绿 ,2008, CD,9.1
"
            It's Not Me, It's You
                ",Lily Allen , 2009-02-09 , 流行,8.5
"
            The Rose~I Love Cinemas~
       ",手嶌葵 , 2008-03-05 , 流行,9.2
"
            我爱南京
       ",李志 , 2009-10-16 , 民谣,8.6
"
            消失的光年
                ",大乔小乔 , 2007-07-12 , 民谣,8.2
"
            还有别的办法吗
       ",范晓萱 ,2004, 流行,8.7
"
            日光倾城
       ",卡奇社 , 2007-04-20 , 流行,8.1
"
            A Little Love
                ",冯曦妤 , 2008-11-20 , 流行,8.4
"
            Yellow
                ",Coldplay , 2000-07-03 , 摇滚,9.3
"
            Hopes And Fears
       ",Keane ,2004, 摇滚,8.9
"
            U87
       ",陈奕迅 , 2005-06-07 , 流行,9.3
"
            Lady Sleep
       ",Maximilian Hecker ,2005, 民谣,8.8
"
            天空の城ラピュタ サウンドトラック 飛行石の謎
                ","久石譲(Joe Hisaishi),杉並児童合唱団,井上杏美 ", 1993-12-21 , 原声,9.5
"
            新长征路上的摇滚
       ",崔健 ,1989, 摇滚,9.2
"
            小飞行
       ","棉花糖,katncandix2 ", 2009-05-01 , 民谣,7.9
"
            春生
       ",好妹妹乐队 , 2012-07-01 , 民谣,8.8
"
            讓我想一想
                ",陈绮贞 , 1998-07-14 , 民谣,9
"
            未来
                ",方大同 , 2007-12-28 ,R&B,8.3
"
            爱爱爱
                ",方大同 , 2006-12 , 流行,8.6
"
            世界
                ",逃跑计划 , 2011-12-31 , 摇滚,9
"
            七天
                ",卢广仲 , 2009-10-30 , CD,7.8
"
            Nirvana
       ",Nirvana , 2002-10-29 , 摇滚,9.2
"
            A Rush of  Blood to the Head
                ",Coldplay ,2002, 流行,8.6
"
            The Velvet Underground & Nico
                ","The Velvet Underground,Nico ", 1967-04 , 摇滚,9
"
            Love The Way You Lie
                ","Eminem,Rihanna ", 2010-08-20 , 说唱,9.3
"
            天空
       ",王菲 ,1994, 流行,9.3
"
            The Boat That Rocked
                ",Original Soundtrack , 2009-03-30 , CD,9.2
"
            (What's The Story) Morning Glory?
       ",Oasis ,1995, 摇滚,9.2
"
            PUSSY
       ",陈绮贞 , 2007-02-08 , 民谣,8.7
"
            呼吸
                ",Salyu ,2001, 原声,9
"
            Fallen
       ",Evanescence ,2003, 摇滚,8.5
"
            黑豹
       ",黑豹 , 1992-12-01 , 摇滚,9.1
"
            十年一刻
       ",苏打绿 , 2010-08-27 , 流行,8.8
"
            恋爱的力量
       ",梁静茹 ,2003年3月, 流行,8.9
"
            Suede
       ",Suede ,1993, 流行,8.9
"
            The Bends
       ",Radiohead ,1995, 摇滚,9.1
"
            琵琶相
                ",林海 ,2004, 轻音乐,9.3
"
            ？
                ",陈奕迅 , 2011-11-11 , 流行,8
"
            少年故事
       ",彭坦 , 2007-07-23 , 流行,8
"
            黑暗之光
       ",雷光夏 , 2006-12-01 , 民谣,8.8
"
            我要我们在一起
       ",范晓萱 , 1999-11-1 , 流行,8.7
"
            人生海海
       ",五月天 , 2001-07-06 , 摇滚,9.2
"
            Maybe I'm Dreaming
                ",Owl City , 2008-03-18 , 流行,8.4
"
            工体东路没有人
       ",李志 , 2009-01-22 , 民谣,9
"
            Let It Be
       ",The Beatles , 1990-10-25 , 摇滚,9.3
